sexe,preusuel,annais,dpt,nombre
1,CAMILLE,2013,05,3
1,CAMILLE,2013,06,5
1,CAMILLE,2013,07,5
1,CAMILLE,2013,08,6
1,CAMILLE,2013,10,3
1,CAMILLE,2013,11,3
1,CAMILLE,2013,13,38
1,CAMILLE,2013,14,10
1,CAMILLE,2013,16,3
1,CAMILLE,2013,17,15
1,CAMILLE,2013,18,4
1,CAMILLE,2013,19,5
1,CAMILLE,2013,20,4
1,CAMILLE,2013,21,12
1,CAMILLE,2013,22,4
1,CAMILLE,2013,24,6
1,CAMILLE,2013,25,6
1,CAMILLE,2013,26,15
1,CAMILLE,2013,27,4
1,CAMILLE,2013,28,4
1,CAMILLE,2013,29,10
1,CAMILLE,2013,30,12
1,CAMILLE,2013,31,24
1,CAMILLE,2013,33,43
1,CAMILLE,2013,34,12
1,CAMILLE,2013,35,25
1,CAMILLE,2013,36,3
1,CAMILLE,2013,37,16
1,CAMILLE,2013,38,18
1,CAMILLE,2013,39,3
1,CAMILLE,2013,41,3
1,CAMILLE,2013,42,9
1,CAMILLE,2013,44,28
1,CAMILLE,2013,45,5
1,CAMILLE,2013,46,3
1,CAMILLE,2013,49,20
1,CAMILLE,2013,50,11
1,CAMILLE,2013,51,14
1,CAMILLE,2013,53,3
1,CAMILLE,2013,54,12
1,CAMILLE,2013,56,10
1,CAMILLE,2013,57,7
1,CAMILLE,2013,59,42
1,CAMILLE,2013,60,8
1,CAMILLE,2013,61,4
1,CAMILLE,2013,62,18
1,CAMILLE,2013,63,10
1,CAMILLE,2013,64,12
1,CAMILLE,2013,66,6
1,CAMILLE,2013,67,6
1,CAMILLE,2013,68,7
1,CAMILLE,2013,69,41
1,CAMILLE,2013,71,10
1,CAMILLE,2013,72,11
1,CAMILLE,2013,73,8
1,CAMILLE,2013,74,18
1,CAMILLE,2013,75,71
1,CAMILLE,2013,76,23
1,CAMILLE,2013,77,16
1,CAMILLE,2013,78,24
1,CAMILLE,2013,79,10
1,CAMILLE,2013,80,3
1,CAMILLE,2013,81,5
1,CAMILLE,2013,82,5
1,CAMILLE,2013,83,13
1,CAMILLE,2013,84,9
1,CAMILLE,2013,85,12
1,CAMILLE,2013,86,10
1,CAMILLE,2013,87,12
