TRAGE_12;CE;SEXE;CS1;BRUT_EQTP;EQTP
80;N;E;4;37200;5882
80;N;E;5;27455;15207
80;N;E;6N;23920;5621
80;N;E;6Q;25126;11222
80;N;H;T;44814;31089
80;N;H;3;76711;10899
80;N;H;4;38456;2931
80;N;H;5;27661;4759
80;N;H;6N;23976;2527
80;N;H;6Q;25289;9973
80;N;F;T;34418;21565
80;N;F;3;64521;3822
80;N;F;4;35951;2951
80;N;F;5;27361;10449
80;N;F;6N;23874;3094
80;N;F;6Q;23828;1249
